transaction_id,transaction_date,user_id,book_title,genre,borrowing_duration_days
95aa44d0-436e-40aa-8f8d-3d619244f99c,10-05-2025,100001,Keith Wilkinson,Kari Glover I,61
8a08a4f9-9bbc-4cc5-8798-e34801468ecb,14-10-2025,100002,Dr. Albert Willms,Ms. Gertrude Pfeffer,86
70494a2b-0317-49c7-8071-443e6cb17f95,04-07-2025,100003,Wilson Ernser,Stephanie Conn-Thiel,17
55facd7e-01cf-4f35-807d-87784d46131c,16-06-2025,100004,Lorena Anderson,Mr. Ellis Miller,64
72dc3dc0-af41-4fa7-9343-c5cb1706a205,13-09-2025,100005,Matthew Barrows,Carl Sawayn,17
9d4ae298-6f58-41e3-b5c1-abd3b4cf00a5,04-03-2025,100006,Faye Prosacco,Mike Hyatt V,83
69ff9912-99f7-4401-83b7-b0890e619a6a,29-03-2025,100007,Leah Pfannerstill,Vivian Dach,76
f19362b7-da3c-4045-945d-b8098ff6d018,25-11-2025,100008,Clayton Toy,Renee Cummings,62
c62cc0b5-a0bd-42d7-a106-046a023a99ae,19-07-2025,100009,Aaron Glover,Drew Brown,54
4034fdc6-6b85-4634-a2a8-5e83eda1420c,19-02-2025,100010,Hattie Ratke,Lana Oberbrunner,3
10ba7a18-b1ec-4761-8eff-0f24ac89f6bd,20-03-2025,100011,Marian Feest,Lila Becker,9
a0cac3f0-43e9-4398-a596-8fe64d74ac5e,11-12-2025,100012,Mrs. Katherine Herzog,Benjamin Jones,23
35e02882-eba1-4bad-8af7-343e991a1b71,10-08-2025,100013,Jeffery Bednar,Lynn Walker,80
b3288402-f12f-4e44-8e8f-47f6855af450,26-03-2025,100014,Taylor Donnelly,Mr. Hector Nicolas,72
ec02b49d-76b6-4c5f-ba9e-35da449c9552,11-11-2025,100015,Thelma Kemmer,Steven Fahey,64
63900a47-f4b2-4e8d-9c0f-fe370f2ad6d2,14-09-2025,100016,Vickie Hyatt,Drew Considine,91
410524f8-07a4-431d-b061-543d91f24c75,04-05-2025,100017,Dr. Dewey Mante,Miss Laurie Cummerata,11
69a1104c-2468-4670-9653-0f5cbe6f59c2,27-08-2025,100018,Spencer Hahn-Wisozk,Pauline Rogahn PhD,72
745092b5-a910-4eb6-a6f4-c38b0c93dc3e,06-03-2025,100019,Irma Marquardt III,Eugene Mraz,16
